"Table 2b: Publicly available electric vehicle rapid charging or above devices by local authority per 100,000 population, from October 2019 [Note 1, 3, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains 1 table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24
(50kW and above) [Note 14]","Jan-25
(50kW and above)",Apr-25 (50kW and above),Jul-25 (50kW and above),Oct-25 (50kW and above),Jan-26 (50kW and above)  [Note 16],Apr-26 (50kW and above),,,,,
E07000038,North East Derbyshire,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1.9,1.9,1.9,2.8,2.8,,,,,
E07000039,South Derbyshire,2.9,3.8,4.8,4.7,4.7,4.7,4.7,3.7,4.6,4.6,4.6,4.6,4.6,4.6,5.6,4.6,6.5,6.5,7.4,7.2,7.2,11.7,9.9,11.7,11.7,10.2,14.5,,,,,
E10000018,Leicestershire,1.4,1.6,2.1,2.3,2.4,2.4,3.0,4.6,5.3,6.3,6.5,6.3,6.6,7.9,7.6,8.6,11.2,12.8,15.9,17.3,20.2,19.8,20.8,24.1,23.1,27.6,28.7,,,,,
E07000129,Blaby,4.0,4.0,4.0,3.9,4.9,4.9,4.9,12.8,12.8,14.7,12.8,12.8,14.7,19.4,19.4,19.4,24.2,24.2,32.9,32.6,35.5,35.5,41.3,60.5,59.5,80.4,83.2,,,,,
E07000130,Charnwood,1.1,1.6,1.6,2.2,1.6,1.6,2.2,3.2,3.2,3.7,3.7,3.2,3.2,3.3,3.3,3.8,11.5,14.2,14.8,18.9,21.1,20.6,20.6,21.1,18.9,23.4,23.4,,,,,
E07000131,Harborough,2.2,2.2,3.2,3.2,3.2,3.2,3.2,3.1,6.3,6.3,6.3,6.3,6.3,6.1,6.1,11.2,10.2,10.2,13.2,12.9,25.9,19.9,19.9,19.9,18.9,21.0,24.8,,,,,
E07000132,Hinckley and Bosworth,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,2.6,2.6,4.4,4.4,4.4,9.7,6.2,4.4,5.3,7.0,11.4,14.9,14.9,15.7,15.7,14.9,14.0,14.6,13.7,,,,,
E07000133,Melton,0.0,0.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,1.9,1.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,7.6,7.6,7.4,7.4,,,,,
E07000134,North West Leicestershire,2.0,2.0,2.0,1.9,1.9,1.9,1.9,2.9,2.9,6.7,7.6,7.6,7.6,6.7,6.7,8.6,8.6,12.4,16.2,15.8,15.8,18.6,19.5,21.4,21.4,21.5,24.1,,,,,
E07000135,Oadby and Wigston,0.0,0.0,0.0,0.0,1.8,1.8,7.0,8.7,8.7,8.7,8.7,8.7,8.7,8.7,12.1,12.1,12.1,12.1,12.1,12.0,13.7,13.7,13.7,13.7,13.7,13.0,11.3,,,,,
E10000019,Lincolnshire,3.8,5.0,5.3,5.5,6.4,6.8,7.1,4.8,7.6,8.0,8.2,9.3,9.9,10.8,12.6,13.8,15.1,17.9,19.6,21.7,22.7,24.0,23.2,25.8,24.9,28.6,30.8,,,,,
E07000136,Boston,1.4,1.4,1.4,1.4,7.1,7.1,7.1,7.1,7.1,9.9,9.9,9.9,12.7,12.7,16.9,16.9,16.9,18.4,18.4,18.4,26.8,26.8,26.8,43.8,43.8,43.6,46.4,,,,,
E07000137,East Lindsey,2.8,3.6,3.6,3.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.9,4.9,4.9,5.6,6.3,7.0,7.7,9.1,9.0,7.6,8.3,6.9,11.1,12.5,15.8,21.4,,,,,
E07000138,Lincoln,2.0,3.0,5.0,6.0,6.0,9.1,9.1,10.0,11.0,13.0,13.0,14.0,13.0,12.7,15.6,14.7,12.7,18.6,24.4,34.1,36.1,39.0,38.0,37.1,35.1,33.3,33.3,,,,,
E07000139,North Kesteven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.8,0.8,0.8,0.8,3.4,5.1,4.2,5.1,10.1,12.7,13.4,13.4,14.2,14.2,14.2,14.2,22.0,21.2,,,,,
E07000140,South Holland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,8.4,8.4,8.4,10.5,10.5,10.3,10.3,10.3,11.3,11.3,11.3,11.1,11.1,,,,,
E07000141,South Kesteven,10.6,16.2,16.2,16.9,18.3,18.3,18.3,5.6,18.2,18.2,18.2,21.6,21.6,22.3,23.0,30.6,34.8,36.2,36.2,40.2,41.6,45.1,43.7,45.1,39.5,48.9,54.4,,,,,
E07000142,West Lindsey,7.4,6.3,6.3,6.3,6.3,6.3,8.4,8.3,8.3,8.3,10.4,10.4,11.4,14.6,14.6,13.6,17.8,22.0,24.1,23.8,23.8,23.8,21.7,22.7,23.8,27.2,27.2,,,,,
E10000021,Northamptonshire (abolished April 2021),3.1,3.9,4.0,4.0,4.2,4.4,4.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000150,Corby (abolished April 2021),5.6,5.6,5.6,5.5,5.5,5.5,5.5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000151,Daventry (abolished April 2021),7.1,7.1,7.1,7.0,7.0,7.0,7.0,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000152,East Northamptonshire (abolished April 2021),0.0,0.0,0.0,0.0,0.0,0.0,0.0,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000153,Kettering (abolished April 2021),2.0,3.0,3.0,2.9,2.9,3.9,7.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000154,Northampton (abolished April 2021),0.0,0.4,0.9,0.9,0.9,0.9,0.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000155,South Northamptonshire (abolished April 2021),9.7,14.1,14.1,13.8,14.8,14.8,14.8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000156,Wellingborough (abolished April 2021),2.5,2.5,2.5,2.5,3.8,3.8,3.8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E10000024,Nottinghamshire,2.4,4.3,5.1,5.6,5.6,6.9,7.8,9.1,9.1,9.7,11.0,11.9,13.8,13.3,14.8,19.2,21.1,24.1,28.1,30.4,29.6,33.4,31.9,34.6,36.4,35.6,37.5,,,,,
E07000170,Ashfield,0.8,2.4,1.6,1.6,1.6,1.6,3.1,3.1,3.1,3.1,6.2,7.8,7.8,7.9,9.5,10.3,8.7,8.7,8.7,8.6,16.5,17.3,18.9,20.4,19.7,20.1,20.1,,,,,
E07000171,Bassetlaw,3.4,6.8,11.1,11.1,10.2,16.2,16.2,16.1,16.1,16.1,16.9,16.9,27.1,23.7,22.0,30.4,32.1,43.9,49.9,58.3,45.0,57.5,53.3,56.7,56.7,52.0,60.8,,,,,
E07000172,Broxtowe,5.3,5.3,6.2,6.1,6.1,6.1,6.1,7.0,7.0,7.0,8.7,8.7,8.7,9.9,9.9,9.9,10.8,19.0,19.9,24.1,24.1,30.3,31.2,36.6,40.1,38.4,37.5,,,,,
E07000173,Gedling,2.5,3.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.1,6.8,9.4,11.1,11.1,12.8,13.6,13.6,13.6,13.6,13.6,13.6,13.3,13.3,,,,,
E07000174,Mansfield,2.8,7.4,5.5,5.5,6.4,8.2,9.1,10.1,10.1,11.0,11.0,11.0,11.0,10.8,13.6,16.3,18.1,18.1,18.1,22.5,22.5,29.7,29.7,29.7,29.7,30.9,32.7,,,,,
E07000175,Newark and Sherwood,0.8,3.3,4.9,5.7,5.7,7.4,7.4,8.9,8.9,8.9,8.9,10.6,10.6,9.7,15.4,23.5,25.1,25.1,36.5,36.0,35.2,42.4,34.4,44.0,52.0,50.8,49.3,,,,,
E07000176,Rushcliffe,1.7,1.7,2.5,5.0,5.0,5.0,9.2,14.8,14.8,18.1,21.4,23.9,27.2,26.0,26.0,34.3,41.0,42.7,50.2,49.3,49.3,42.8,41.9,41.1,42.8,42.6,47.3,,,,,
E12000005,West Midlands,3.9,4.4,4.7,4.7,5.4,5.9,6.5,7.2,7.8,8.3,8.9,9.8,10.6,11.1,12.9,14.7,16.2,18.4,20.6,21.2,23.5,24.3,24.5,26.1,27.8,28.5,30.4,,,,,
E06000019,"Herefordshire, County of",2.6,3.1,3.6,3.6,4.7,5.2,5.2,6.7,7.2,7.7,7.7,7.7,6.7,6.9,11.2,11.2,10.7,12.3,11.7,11.7,12.2,9.5,9.0,9.5,11.1,11.5,12.0,,,,,
E06000051,Shropshire,4.4,5.3,5.3,5.9,5.9,6.5,6.5,6.5,7.1,7.1,7.7,8.0,8.3,8.3,8.0,11.1,10.8,11.7,12.6,12.8,14.1,15.6,15.9,19.9,20.8,24.1,24.4,,,,,
E06000021,Stoke-on-Trent,2.0,1.2,1.6,1.6,2.0,2.3,3.1,3.1,3.9,3.9,3.9,5.8,7.4,7.8,9.7,12.0,14.3,17.1,17.1,14.2,19.2,15.4,18.8,23.8,28.9,38.1,39.2,,,,,
E06000020,Telford and Wrekin,1.1,2.2,2.2,2.8,2.8,2.8,2.8,3.9,3.9,3.9,3.9,3.9,5.5,5.4,5.9,7.0,8.6,12.9,21.5,22.2,21.7,17.5,16.4,17.5,29.7,29.6,34.2,,,,,
E10000028,Staffordshire,4.8,5.1,5.8,5.9,8.9,9.2,9.4,9.6,11.0,11.9,12.7,14.0,15.5,16.3,18.5,21.4,22.2,26.5,28.0,27.5,33.3,34.4,36.3,36.7,38.0,40.3,41.7,,,,,
E07000192,Cannock Chase,5.0,7.0,7.0,6.9,6.9,7.9,8.9,8.9,8.9,8.9,10.8,10.8,15.8,16.9,21.9,22.9,25.8,25.8,26.8,25.7,34.6,40.5,52.4,56.4,55.4,54.8,62.4,,,,,
E07000193,East Staffordshire,3.4,3.4,4.2,4.2,4.2,5.0,5.0,6.6,6.6,12.4,13.2,14.1,14.9,17.7,17.7,23.3,28.1,28.1,29.7,29.4,37.4,38.2,38.2,34.2,39.0,36.2,38.6,,,,,
E07000194,Lichfield,1.0,1.0,1.9,1.9,2.9,2.9,2.9,2.8,1.9,1.9,3.8,4.7,4.7,4.7,7.5,7.5,11.2,11.2,13.1,12.9,12.0,19.4,17.5,17.5,17.5,17.9,17.9,,,,,
E07000195,Newcastle-under-Lyme,14.7,14.7,14.7,14.7,15.5,15.5,16.2,17.0,17.0,17.0,17.0,17.7,17.7,20.3,22.8,24.4,24.4,26.0,31.7,24.7,35.9,31.9,38.3,39.9,39.9,39.1,37.6,,,,,
E07000196,South Staffordshire,4.5,4.5,7.1,8.0,27.6,27.6,27.6,25.8,27.6,27.6,27.6,26.7,27.6,28.0,28.9,28.9,28.9,42.4,45.1,44.8,60.1,49.3,54.7,58.3,58.3,62.1,62.1,,,,,
E07000197,Stafford,5.2,5.2,5.2,5.1,5.1,5.8,5.8,5.8,13.8,14.5,16.0,23.2,27.6,27.7,29.9,37.2,32.8,48.1,46.6,50.5,52.6,54.1,49.8,48.3,53.4,65.0,67.1,,,,,
E07000198,Staffordshire Moorlands,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,3.1,5.2,5.2,5.2,5.2,5.2,4.2,4.2,4.2,4.2,4.2,8.3,8.3,,,,,
E07000199,Tamworth,1.3,1.3,2.6,2.6,3.9,3.9,3.9,5.2,5.2,5.2,5.2,5.2,5.2,3.8,7.6,12.7,12.7,12.7,12.7,13.8,13.8,26.4,25.1,25.1,25.1,25.9,25.9,,,,,
E10000031,Warwickshire,7.4,7.5,7.7,7.6,8.3,8.7,11.4,15.6,15.4,16.1,17.1,17.0,18.3,17.9,18.7,19.9,23.0,24.5,26.9,30.3,33.7,32.6,34.6,36.9,37.2,37.5,40.2,,,,,
E07000218,North Warwickshire,6.2,6.2,6.2,6.1,6.1,6.1,29.1,29.0,29.0,29.0,30.6,30.6,30.6,30.6,30.6,30.6,35.2,35.2,35.2,33.4,33.4,15.2,33.4,33.4,31.8,44.7,40.2,,,,,
E07000219,Nuneaton and Bedworth,3.9,3.9,3.9,3.8,3.8,4.6,4.6,4.6,4.6,5.4,5.4,6.1,6.9,6.7,7.4,9.7,9.7,10.4,10.4,9.6,13.3,18.5,17.7,18.5,19.2,18.4,19.8,,,,,
E07000220,Rugby,0.0,0.0,0.0,0.0,2.8,2.8,2.8,24.4,24.4,24.4,27.1,25.3,25.3,24.4,24.4,27.9,41.8,42.7,50.5,58.4,60.1,62.7,64.4,62.7,62.7,59.7,60.5,,,,,
E07000221,Stratford-on-Avon,21.9,21.9,21.9,21.5,22.3,23.1,23.8,23.4,23.4,22.7,23.4,23.4,29.5,28.7,29.4,25.0,27.2,32.4,36.0,44.7,47.6,44.0,42.6,52.7,49.8,51.3,52.6,,,,,
E07000222,Warwick,3.5,4.2,4.9,4.9,4.9,4.9,4.9,5.5,4.8,7.6,8.3,8.3,7.6,7.4,9.4,13.4,11.4,11.4,11.4,12.6,19.2,19.2,19.8,20.5,24.5,21.3,31.0,,,,,
E11000005,West Midlands (Metropolitan County),2.5,3.1,3.3,3.4,3.6,4.3,4.7,4.8,5.4,5.9,6.6,7.7,8.4,9.0,11.2,12.9,14.4,15.7,17.1,17.9,18.8,20.8,20.2,21.7,22.7,22.4,24.2,,,,,
E08000025,Birmingham,0.5,0.9,1.1,1.1,1.0,2.4,2.5,2.7,3.9,4.4,5.9,7.2,8.4,9.5,10.9,12.3,14.0,14.4,15.0,16.2,17.0,19.3,19.6,19.3,20.6,22.1,24.2,,,,,
E08000026,Coventry,8.2,9.3,10.4,10.5,11.3,11.6,12.4,11.9,11.9,12.9,13.2,13.2,13.4,14.9,17.8,20.7,21.0,21.0,22.4,22.2,21.1,26.2,25.3,25.3,25.9,23.8,23.6,,,,,
E08000027,Dudley,2.2,2.8,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.0,4.7,5.0,5.6,10.5,14.2,15.1,20.4,21.6,21.2,24.3,25.8,24.3,29.8,32.3,34.9,36.5,,,,,
E08000028,Sandwell,0.9,2.4,2.4,2.4,2.4,2.4,3.3,3.6,3.6,3.6,3.3,5.5,6.1,5.3,7.0,7.6,7.3,11.1,12.9,15.1,14.2,19.5,17.1,20.0,21.8,16.7,19.2,,,,,
E08000029,Solihull,3.7,3.7,3.7,3.7,3.7,4.6,4.6,5.1,6.0,7.8,7.8,11.5,11.5,12.0,15.7,17.5,26.3,26.3,29.5,29.9,37.7,40.0,39.5,42.3,40.4,38.4,38.4,,,,,
E08000030,Walsall,2.1,2.1,2.1,2.1,2.5,2.8,3.2,2.8,3.1,3.1,3.8,4.2,4.5,5.6,6.7,8.4,8.8,8.8,8.8,9.4,8.4,8.4,8.7,12.9,13.6,13.9,13.5,,,,,
E08000031,Wolverhampton,5.0,5.3,5.3,5.3,6.5,7.2,8.4,8.7,9.1,9.5,9.5,9.1,9.5,9.5,11.4,11.0,12.5,13.3,18.6,18.7,18.3,13.8,12.0,12.3,12.7,11.0,17.4,,,,,
E10000034,Worcestershire,7.8,8.6,8.6,8.6,8.9,8.9,9.1,10.2,11.4,11.4,11.4,11.9,12.4,12.7,13.7,15.0,16.7,21.5,28.1,28.6,32.7,33.2,32.3,33.8,36.4,34.4,38.1,,,,,
E07000234,Bromsgrove,21.3,22.3,22.3,22.0,22.0,22.0,22.0,29.8,29.8,29.8,29.8,31.8,33.8,34.2,35.2,35.2,37.2,53.3,76.4,75.9,95.9,95.9,95.9,96.9,101.9,99.3,101.3,,,,,
E07000235,Malvern Hills,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.8,9.9,9.9,8.6,8.6,8.6,8.6,8.4,7.2,,,,,
E07000236,Redditch,2.4,2.4,2.4,2.3,3.5,3.5,3.5,2.3,2.3,2.3,2.3,5.8,5.8,6.9,8.0,8.0,8.0,8.0,8.0,8.0,10.3,9.2,11.5,10.3,9.2,13.7,22.8,,,,,
E07000237,Worcester,5.9,5.9,5.9,5.9,6.9,6.9,6.9,7.0,13.0,13.0,13.0,12.0,13.0,12.5,13.5,17.4,19.3,25.1,29.9,31.7,35.5,37.5,28.8,31.7,39.4,33.7,40.3,,,,,
E07000238,Wychavon,7.9,11.0,11.0,10.8,10.8,10.8,10.8,9.9,10.7,9.9,9.9,8.4,8.4,8.3,8.3,11.3,11.3,16.5,18.8,19.3,19.3,23.0,23.8,28.2,32.0,27.5,34.8,,,,,
E07000239,Wyre Forest,3.0,3.0,3.0,3.0,3.0,3.0,3.9,4.9,4.9,5.9,5.9,6.9,6.9,8.8,11.8,11.8,17.7,17.7,23.6,23.5,22.5,20.5,21.5,21.5,20.5,19.2,16.4,,,,,
E12000006,East of England,2.7,3.0,3.3,3.4,4.2,4.8,5.4,5.9,6.0,6.4,7.0,8.3,8.6,8.9,9.7,11.6,11.9,14.9,17.0,18.7,22.3,23.5,24.4,27.0,28.8,29.5,32.1,,,,,
E06000055,Bedford,2.9,3.5,3.5,4.0,9.8,10.4,10.4,10.9,12.6,12.6,13.2,15.5,15.5,14.0,10.8,13.5,17.8,24.8,32.3,32.5,37.3,33.1,33.1,34.7,33.6,31.8,32.8,,,,,
E06000056,Central Bedfordshire,3.2,2.8,3.2,3.1,3.5,3.5,3.8,3.7,4.4,4.4,4.1,3.7,4.4,4.4,5.8,5.8,6.4,9.5,11.2,18.9,23.2,25.9,32.8,32.8,42.5,41.8,45.3,,,,,
E06000032,Luton,0.9,1.4,1.4,0.9,1.4,1.4,1.4,1.4,1.4,1.9,1.9,1.4,1.4,1.8,1.8,7.1,3.1,12.9,14.7,14.5,16.3,16.3,16.3,20.7,20.7,19.7,19.7,,,,,
E06000031,Peterborough,4.5,4.5,4.5,5.4,5.4,6.9,7.4,6.9,6.9,6.9,6.9,6.9,6.9,8.3,10.2,12.0,12.5,16.2,16.2,19.8,18.8,22.0,23.9,27.6,29.9,21.9,30.0,,,,,
E06000033,Southend-on-Sea,0.5,1.1,1.1,1.1,1.1,1.1,1.6,1.6,1.6,1.6,2.2,2.2,2.7,2.8,3.3,7.2,7.2,7.8,7.8,7.7,16.0,12.2,12.2,12.2,12.2,11.9,15.1,,,,,
E06000034,Thurrock,5.2,5.2,5.8,5.7,5.7,5.7,6.3,5.7,6.3,6.3,19.9,26.2,25.1,25.0,25.0,26.2,25.6,34.7,34.7,37.9,37.3,36.7,38.4,38.4,40.1,42.5,42.5,,,,,
E10000003,Cambridgeshire,2.5,2.5,2.8,3.7,4.9,4.9,5.5,7.6,7.9,8.2,7.9,8.2,8.2,8.4,9.0,12.9,12.8,14.3,17.0,20.6,24.2,24.5,23.2,29.9,34.1,33.2,39.8,,,,,
E07000008,Cambridge,4.8,4.8,6.4,6.4,6.4,6.4,6.4,17.6,19.2,19.2,19.2,20.0,20.0,17.3,20.0,24.2,26.9,30.4,33.9,32.7,34.0,32.7,29.9,28.6,31.3,30.8,31.5,,,,,
E07000009,East Cambridgeshire,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,4.5,6.8,10.1,6.7,10.1,10.1,6.7,7.8,7.5,11.8,,,,,
E07000010,Fenland,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,1.9,2.9,2.9,3.9,4.9,4.9,4.9,4.9,4.8,4.8,,,,,
E07000011,Huntingdonshire,1.7,1.7,1.7,4.5,5.6,5.6,7.9,7.8,7.8,8.4,8.4,8.9,8.9,8.8,8.8,17.1,17.1,17.6,22.6,35.3,35.9,29.9,26.6,41.3,52.7,48.3,65.6,,,,,
E07000012,South Cambridgeshire,3.2,3.2,3.2,3.8,6.9,6.9,6.9,6.8,6.8,7.5,5.6,5.6,5.6,7.4,7.4,11.0,7.4,9.2,10.4,10.3,24.8,31.4,32.0,46.5,48.3,49.8,55.1,,,,,
E10000012,Essex,2.3,2.5,3.0,2.9,4.2,5.9,6.4,7.3,7.3,7.8,8.1,8.5,9.3,9.5,10.0,11.4,12.1,15.0,15.7,15.9,21.1,22.0,21.9,25.1,25.6,27.0,28.5,,,,,
E07000066,Basildon,0.0,0.0,1.1,1.1,2.7,3.2,4.8,5.3,5.3,5.9,5.9,5.9,5.9,5.9,5.9,7.5,6.9,12.8,9.6,9.5,14.8,15.4,16.4,14.3,14.3,13.9,15.0,,,,,
E07000067,Braintree,2.6,3.3,3.3,3.3,3.3,15.1,15.1,22.9,22.9,22.9,22.9,22.9,22.2,23.1,22.5,23.1,27.6,27.6,28.3,14.0,40.0,40.6,29.8,29.8,29.8,29.2,30.4,,,,,
E07000068,Brentwood,1.3,1.3,1.3,1.3,1.3,1.3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,11.7,11.7,11.7,19.5,27.2,23.3,23.3,24.6,25.9,25.9,25.2,29.0,,,,,
E07000069,Castle Point,1.1,1.1,1.1,1.1,2.2,2.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,7.8,14.5,15.6,15.6,14.4,14.4,,,,,
E07000070,Chelmsford,3.4,3.4,4.0,3.9,4.5,9.0,9.0,8.9,8.9,10.6,11.7,11.7,11.1,11.0,11.0,11.6,12.1,11.0,11.0,12.0,17.5,17.5,20.7,22.9,25.1,24.9,26.0,,,,,
E07000071,Colchester,2.6,3.6,4.2,4.1,10.3,9.8,9.8,9.6,9.6,10.6,12.2,12.7,14.7,15.1,15.1,15.6,15.6,22.3,23.4,24.7,24.2,23.7,22.1,24.2,26.8,24.0,24.0,,,,,
E07000072,Epping Forest,4.6,4.6,4.6,4.6,6.1,6.1,6.8,6.8,6.8,6.8,6.1,7.6,7.6,8.2,14.1,16.3,18.5,19.3,22.2,24.4,23.7,24.4,24.4,40.0,39.3,50.2,57.5,,,,,
E07000073,Harlow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,7.4,7.4,7.4,7.4,7.4,7.4,7.1,7.1,,,,,
E07000074,Maldon,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.1,4.6,4.6,6.0,6.0,6.0,4.5,3.0,6.0,11.8,11.8,11.8,11.8,11.8,11.8,11.6,11.6,,,,,
E07000075,Rochford,0.0,0.0,2.3,2.3,2.3,2.3,4.6,4.6,4.6,6.8,6.8,9.1,11.4,11.6,12.8,12.8,12.8,20.9,20.9,17.2,17.2,16.1,17.2,18.3,18.4,24.5,25.6,,,,,
E07000076,Tendring,1.4,1.4,2.1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,5.4,5.4,5.4,6.0,6.0,6.7,6.0,9.9,9.9,15.8,16.5,29.7,29.7,32.5,35.1,,,,,
E07000077,Uttlesford,9.0,9.0,9.0,8.8,8.8,8.8,8.8,8.6,8.6,8.6,8.6,8.6,9.7,9.8,8.7,13.1,15.2,23.9,26.1,31.3,56.2,57.2,58.3,59.4,58.3,65.2,65.2,,,,,
E10000015,Hertfordshire,2.9,3.1,3.5,3.6,4.2,4.5,4.6,5.0,4.9,4.9,5.3,6.5,6.7,7.0,7.7,9.9,10.6,12.7,16.0,15.8,20.4,24.4,27.0,30.2,32.5,32.9,35.8,,,,,
E07000095,Broxbourne,1.0,1.0,2.1,2.1,2.1,2.1,2.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,6.1,6.1,6.1,4.0,4.0,4.0,14.1,13.1,33.3,34.3,33.3,29.4,29.4,,,,,
E07000096,Dacorum,1.3,1.9,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.9,3.9,3.9,4.5,5.2,13.5,20.6,19.9,28.2,27.5,30.1,32.0,34.6,29.1,32.2,,,,,
E07000242,East Hertfordshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,9.3,9.3,9.3,9.3,9.9,10.6,11.2,11.2,11.9,10.6,9.6,9.6,,,,,
E07000098,Hertsmere,14.4,14.4,15.4,15.2,16.2,16.2,16.2,18.0,18.0,18.0,18.0,23.7,25.6,25.9,26.8,24.1,24.1,31.5,37.9,37.0,61.1,87.0,91.6,80.5,79.6,103.4,103.4,,,,,
E07000099,North Hertfordshire,2.3,3.0,3.0,3.0,6.0,6.0,6.0,7.5,7.5,6.7,7.5,11.2,11.2,11.2,13.5,20.2,16.5,15.7,16.5,15.7,15.7,16.4,16.4,16.4,32.1,31.3,33.5,,,,,
E07000240,St Albans,3.4,3.4,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.7,6.7,8.0,6.7,7.4,7.4,10.1,9.4,9.4,10.1,14.8,15.5,15.5,22.2,19.6,16.6,27.2,,,,,
E07000243,Stevenage,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.1,2.3,2.3,2.3,2.3,4.5,3.4,3.4,5.6,6.7,5.6,6.7,15.6,35.7,35.7,53.5,54.6,56.7,56.7,,,,,
E07000102,Three Rivers,1.1,1.1,2.1,2.1,4.3,4.3,4.3,5.3,5.3,4.3,4.3,4.3,3.2,5.3,6.4,6.4,6.4,5.3,5.3,5.3,5.3,5.3,9.6,10.6,13.8,14.6,14.6,,,,,
E07000103,Watford,4.1,4.1,4.1,5.2,5.2,7.2,8.3,7.2,7.2,7.2,7.2,7.2,4.1,3.9,3.9,6.8,6.8,7.8,20.5,19.4,12.6,21.4,17.5,36.9,38.8,37.3,42.9,,,,,
E07000241,Welwyn Hatfield,2.4,3.3,3.3,3.3,3.3,3.3,4.1,4.0,3.2,3.2,3.2,4.8,4.8,5.9,5.9,10.0,15.1,20.9,28.4,27.5,25.8,19.1,20.8,20.0,24.1,22.0,26.1,,,,,
E10000020,Norfolk,2.7,3.3,3.4,3.4,3.7,3.6,5.8,6.0,6.1,7.2,7.8,11.9,11.7,12.1,13.5,14.5,14.0,16.4,18.7,19.3,21.1,21.4,21.7,22.3,23.2,26.4,27.1,,,,,
E07000143,Breckland,5.0,5.7,5.7,5.7,6.4,5.7,11.4,12.0,12.0,16.3,17.0,17.0,17.0,18.3,19.7,20.4,19.7,21.1,21.1,20.2,21.6,21.6,23.7,23.7,23.0,23.9,26.6,,,,,
